current_date,current_time,departure_time,arrival_time,airline,duration,stops,price,dep_airport,arr_airport,operated_by,other
2019-7-9,15:54,10:20am,10:10pm,Finnair,7h 0m,(Nonstop),"$1,309",John F. Kennedy Intl. (JFK),Heathrow (LHR),American Airlines 142,Boeing 777-200 | Lunch | Snack or Brunch
2019-7-9,15:54,10:00pm,10:00am,American Airlines,7h 0m,(Nonstop),"$1,309",John F. Kennedy Intl. (JFK),Gatwick (LGW),Finnair 5432 operated by British Airways,Boeing 777 | Meal
2019-7-9,15:54,10:00pm,10:00am,Iberia,7h 0m,(Nonstop),"$1,309",John F. Kennedy Intl. (JFK),Gatwick (LGW),American Airlines 6150 operated by British Airways,Boeing 777 | Meal
2019-7-9,15:54,10:00pm,10:00am,American Airlines,7h 10m,(Nonstop),"$1,309",John F. Kennedy Intl. (JFK),Gatwick (LGW),Iberia 7628 operated by British Airways,Boeing 777
2019-7-9,15:54,6:10pm,6:20am,American Airlines,7h 10m,(Nonstop),"$1,309",John F. Kennedy Intl. (JFK),Heathrow (LHR),American Airlines 100,BOEING 777-300ER | Dinner | Breakfast
2019-7-9,15:54,10:40pm,10:50am,American Airlines,7h 15m,(Nonstop),"$1,309",John F. Kennedy Intl. (JFK),Heathrow (LHR),American Airlines 104,BOEING 777-300ER | Dinner | Breakfast
2019-7-9,15:54,7:25pm,7:40am,British Airways,7h 0m,(Nonstop),"$1,621",John F. Kennedy Intl. (JFK),Heathrow (LHR),American Airlines 106,Boeing 777-200 | Dinner | Breakfast
2019-7-9,15:54,9:35pm,9:35am,British Airways,7h 5m,(Nonstop),"$1,621",Liberty Intl. (EWR),Heathrow (LHR),British Airways 188,Boeing 787-8 | Meal
2019-7-9,15:54,11:00pm,11:05am,British Airways,7h 10m,(Nonstop),"$1,621",John F. Kennedy Intl. (JFK),Heathrow (LHR),British Airways 182,Boeing 777 | Meal
2019-7-9,15:54,6:05pm,6:15am,Virgin Atlantic,7h 15m,(Nonstop),"$1,740",Liberty Intl. (EWR),Heathrow (LHR),British Airways 184,Boeing 777 | Meal
2019-7-9,15:54,10:00pm,10:15am,United,7h 10m,(Nonstop),"$1,829",John F. Kennedy Intl. (JFK),Heathrow (LHR),Virgin Atlantic 10,Airbus A340-600 | Dinner
2019-7-9,15:54,7:00pm,7:10am,Virgin Atlantic,7h 5m,(Nonstop),"$2,099",Liberty Intl. (EWR),Heathrow (LHR),United 14,Boeing 767-300 | Dinner
2019-7-9,15:54,10:00pm,10:05am,Finnair,6h 50m,(Nonstop),"$2,372",Liberty Intl. (EWR),Heathrow (LHR),Virgin Atlantic 2,Airbus A330-300 | Dinner
