current_date,current_time,departure_time,arrival_time,airline,duration,stops,price,dep_airport,arr_airport,operated_by,other
2019-7-8,22:25,7:30pm,7:50am,British Airways,6h 50m,(Nonstop),"$1,151",John F. Kennedy Intl. (JFK),Heathrow (LHR),Delta 1,Airbus A330-200 | Dinner
2019-7-8,22:25,7:55am,7:45pm,British Airways,6h 50m,(Nonstop),"$1,151",John F. Kennedy Intl. (JFK),Heathrow (LHR),British Airways 178,Boeing 747-400 | Meal
2019-7-8,22:25,10:20am,10:10pm,British Airways,7h 0m,(Nonstop),"$1,151",John F. Kennedy Intl. (JFK),Heathrow (LHR),British Airways 1594 operated by American Airlines,Boeing 777-200 | Meal
2019-7-8,22:25,10:00pm,10:00am,Iberia,7h 0m,(Nonstop),"$1,151",John F. Kennedy Intl. (JFK),Gatwick (LGW),British Airways 2272,Boeing 777 | Meal
2019-7-8,22:25,10:00pm,10:00am,Finnair,7h 0m,(Nonstop),"$1,151",John F. Kennedy Intl. (JFK),Gatwick (LGW),Iberia 7628 operated by British Airways,Boeing 777
2019-7-8,22:25,10:00pm,10:00am,British Airways,7h 5m,(Nonstop),"$1,151",John F. Kennedy Intl. (JFK),Gatwick (LGW),Finnair 5432 operated by British Airways,Boeing 777 | Meal
2019-7-8,22:25,9:00pm,9:05am,British Airways,7h 5m,(Nonstop),"$1,151",John F. Kennedy Intl. (JFK),Heathrow (LHR),British Airways 172,Boeing 747-400 | Meal
2019-7-8,22:25,11:00pm,11:05am,British Airways,7h 10m,(Nonstop),"$1,151",John F. Kennedy Intl. (JFK),Heathrow (LHR),British Airways 182,Boeing 777 | Meal
2019-7-8,22:25,7:00pm,7:10am,British Airways,7h 10m,(Nonstop),"$1,151",John F. Kennedy Intl. (JFK),Heathrow (LHR),British Airways 174,Boeing 747-400 | Meal
2019-7-8,22:25,8:10pm,8:20am,Iberia,7h 15m,(Nonstop),"$1,151",John F. Kennedy Intl. (JFK),Heathrow (LHR),British Airways 116,Boeing 747-400 | Meal
2019-7-8,22:25,7:25pm,7:40am,British Airways,7h 15m,(Nonstop),"$1,151",John F. Kennedy Intl. (JFK),Heathrow (LHR),Iberia 4222 operated by American Airlines,Boeing 777-200
2019-7-8,22:25,7:30pm,7:45am,Virgin Atlantic,7h 15m,(Nonstop),"$1,153",John F. Kennedy Intl. (JFK),Heathrow (LHR),British Airways 176,Boeing 777 | Meal
