departure_time,arrival_time,airline,duration,stops,layovers,price(2019-7-8---12:47)
6:00pm,6:25am,Virgin Atlantic,7h 25m,(Nonstop),,"['$1,845']"
10:00pm,5:20pm,LOT-Polish Airlines,14h 20m,(1 stop),,"['$1,929']"
9:59pm,7:50pm,Virgin Atlantic,16h 51m,(1 stop),,"['$2,120']"
10:00pm,10:05am,Virgin Atlantic,7h 5m,(Nonstop),,"['$2,199']"
8:05pm,10:25am,Air Canada,9h 20m,(1 stop),,"['$2,374']"
8:50pm,12:15pm,Iberia,10h 25m,(1 stop),,"['$2,388']"
8:15am,8:10pm,KLM,6h 55m,(Nonstop),,"['$2,388']"
9:00pm,1:00pm,Swiss International Air Lines,11h 0m,(1 stop),,"['$2,408']"
7:00pm,1:45pm,Air France,13h 45m,(2 stops),,"['$2,411']"
6:00pm,9:40am,Lufthansa,10h 40m,(1 stop),,"['$2,426']"
7:05pm,12:50pm,Finnair,12h 45m,(1 stop),,"['$2,528']"
9:40pm,7:10pm,Alitalia,16h 30m,(1 stop),,"['$2,655']"
6:25pm,6:50am,British Airways,7h 25m,(Nonstop),,"['$7,297']"
10:00pm,10:05am,Virgin Atlantic,7h 5m,(Nonstop),,"['$9,901']"
12:15pm,6:30am,Air Canada,13h 15m,(1 stop),,"['$10,655']"
2:45pm,6:45am,United,11h 0m,(1 stop),,"['$10,659']"
10:00pm,10:05am,Virgin Atlantic,7h 5m,(Nonstop),,
